Data;Maxima;Minima;Media;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31
01/10/2024;399;301;361;398;392;385;373;362;356;352;351;353;356;361;368;375;383;387;390;390;388;386;381;375;371;363;353;344;334;324;316;311;306;302
01/09/2024;;;;;;;;;;;;;;;;;;;;;;;;;532;;;;;;;;;
01/08/2024;1470;978;1275;1468;1462;1452;1442;1433;1424;1414;1401;1393;1378;1368;1357;1343;1331;1319;1302;1286;1269;1253;1232;1215;1195;1179;1155;1135;1112;1094;1075;1044;1018;983
01/07/2024;1632;1474;1571;1632;1630;1627;1626;1625;1621;1620;1617;1612;1609;1605;1599;1597;1592;1585;1581;1576;1569;1562;1555;1547;1544;1537;1529;1523;1515;1511;1501;1492;1485;1477
01/06/2024;1634;1578;1619;1580;1585;1589;1593;1596;1599;1603;1606;1608;1613;1616;1621;1624;1625;1627;1628;1629;1630;1632;1634;1632;1632;1634;1634;1634;1634;1634;1634;1634;1633;
01/04/2024;;;;1285;1289;1294;;;;1315;1322;1327;1333;1340;1347;1352;1357;1361;1366;1374;1384;1389;1393;1400;1408;1414;1423;1430;;;;;;
01/03/2024;;;;1135;1147;1153;1159;1163;1167;1171;1173;1176;1181;1184;1187;1191;1195;1197;1203;1157;12010;1214;1219;1225;1231;1235;1238;1248;1253;1256;1265;1269;1275;1281
01/02/2024;1140;1035;1087;1038;1045;1050;1055;1058;1063;1065;1068;1070;1070;1077;1078;1082;1086;1088;1091;1094;1099;1102;1103;1104;1105;1107;1109;1114;1116;1131;1136;1139;;
01/01/2024;1022;802;942;803;817;829;841;852;860;872;881;890;896;904;918;928;944;957;964;973;984;987;991;994;999;1002;1005;1008;1009;1013;1016;1018;1020;1022
01/12/2023;794;412;574;413;419;426;434;441;444;449;460;471;477;484;494;508;521;539;550;571;590;602;614;640;655;670;691;704;720;736;749;761;776;789
01/11/2023;408;205;317;295;301;306;311;314;316;325;330;327;323;317;312;305;295;282;277;273;272;274;279;285;308;321;337;349;363;376;390;397;407;
01/10/2023;506;270;358;505;489;477;466;456;444;436;424;414;402;391;382;372;364;353;344;335;327;318;311;300;292;282;277;273;272;270;274;278;281;289
01/09/2023;1308;516;938;1305;1289;1269;1250;1230;1210;1186;1166;1144;1127;1102;1075;1039;1004;974;943;909;875;845;813;779;743;713;678;647;615;585;564;541;520;
01/08/2023;1604;1318;1485;1602;1597;1593;1584;1577;1573;1565;1559;1553;1545;1538;1530;1523;1514;1505;1497;1489;1479;1470;1462;1450;1439;1427;1415;1401;1390;1378;1370;1348;1335;1320
01/07/2023;1733;1606;1680;1733;1732;1729;1725;1722;1720;1717;1713;1709;1705;1700;1695;1691;1688;1686;1684;1681;1677;1673;1670;1665;1661;1657;1651;1647;1641;1635;1628;1623;1614;1608
01/06/2023;1762;1733;1753;1745;1747;1748;1751;1753;1756;1757;1759;1760;1760;1761;1762;1762;1762;1762;1762;1760;1760;1760;1758;1757;1755;1752;1750;1748;1746;1743;1739;1736;1734;
01/05/2023;1743;1624;1695;1626;1634;1646;1651;1656;1660;1663;1667;1671;1674;1678;1683;1686;1689;1693;1697;1701;1705;1710;1714;1719;1723;1727;1729;1732;1734;1736;1737;1739;1741;1743
01/04/2023;1620;1527;1567;1528;1529;1529;1531;1533;1535;1537;1541;1544;1547;1551;1555;1558;1562;1564;1568;1572;1575;1577;1581;1585;1589;1592;1594;1597;1603;1607;1611;1615;1619;
01/03/2023;1526;1344;1455;1346;1355;1364;1375;1385;1392;1402;1412;1420;1428;1437;1447;1460;1467;1471;1475;1479;1483;1487;1489;1490;1493;1495;1496;1498;1501;1504;1509;1517;1523;1526
01/02/2023;1339;1132;1235;1134;1141;1145;1151;1158;1166;1180;1191;1198;1207;1218;1225;1232;1240;1245;1250;1253;1258;1267;1272;1280;1287;1293;1301;1311;1320;1328;1338;;;
01/01/2023;1126;93;1017;995;990;995;995;995;994;543;991;993;994;996;998;999;1003;1004;1010;1017;1026;1036;1040;1047;1054;1062;1068;1074;1084;1090;1097;1106;1115;1124
01/12/2022;997;894;965;895;899;901;906;914;922;930;937;946;953;961;972;981;984;987;991;993;996;993;994;993;990;988;987;987;987;989;984;984;994;995
01/11/2022;913;718;840;719;726;736;746;755;764;770;783;794;807;818;826;835;844;853;860;867;876;889;897;906;910;911;913;909;906;904;900;896;894;
01/10/2022;998;706;831;994;984;972;964;954;943;931;922;914;907;899;887;870;850;835;818;808;800;783;767;749;742;729;720;713;709;708;706;706;709;714
01/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/08/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01/07/2022;;;;1918;1915;1911;1907;1903;1897;1894;1890;1885;1882;1878;1874;1869;1865;1862;1857;1856;1852;1849;1845;1843;1839;1835;1829;1827;1823;1819;1816;1813;1809;
01/06/2022;1928;1892;1918;1892;1893;1897;1903;1906;1909;1910;1912;1916;1917;1918;1919;1920;1920;1923;1924;1926;1926;1926;1927;1927;1927;1928;1928;1928;1928;1927;1924;1922;1920;
01/05/2022;1891;1815;1861;1815;1819;1824;1821;1832;1838;1841;1846;1849;1850;1852;1854;1857;1859;1862;1866;1869;1872;1874;1875;1877;1877;1878;1879;1881;1884;1884;1885;1886;1888;1891
01/04/2022;1812;1652;1743;1653;1665;1677;1682;1687;1694;1699;1705;1711;1715;1721;1727;1731;1737;1743;1749;1755;1762;1770;1774;1778;1783;1787;1790;1794;1797;1801;1803;1808;1811;
01/03/2022;1649;1402;1509;1402;1407;1411;1413;1416;1418;1423;1426;1436;1445;1455;1463;1474;1483;1492;1501;1511;1520;1531;1541;1551;1569;1572;1582;1596;1609;1611;1619;1629;1641;1648
01/02/2022;1399;1310;1347;1317;1315;1314;1313;1312;1310;1312;1315;1320;1326;1331;1335;1338;1344;1347;1351;1356;1360;1363;1366;1371;1374;1378;1382;1386;1389;1393;1399;;;
01/01/2022;1378;1275;1346;1277;1287;1300;1311;1320;1333;1345;1357;1363;1369;1371;1371;1376;1376;1376;1376;1377;1378;1364;1361;1357;1354;1350;1346;1343;1341;1337;1333;1329;1326;1322
01/12/2021;1273;1102;1178;1103;1105;1108;1111;1114;1116;1117;1119;1125;1137;1144;1152;1157;1165;1171;1178;1183;1187;1197;1203;1211;1218;1223;1227;1235;1240;1247;1251;1256;1264;1271
01/11/2021;;;;;;918;917;918;918;918;918;924;927;931;936;934;925;926;927;928;955;960;968;977;986;997;1003;1008;1017;1025;1034;1042;1046;
01/10/2021;1408;1179;1275;1406;1392;1382;1373;1363;1346;1330;1319;1308;1301;1296;1292;1286;1280;1274;1265;1260;1253;1247;1242;1238;1233;1228;1222;1216;1211;1205;1201;1195;1188;1180
01/09/2021;1687;1418;1562;1686;1680;1674;1663;1658;1649;1641;1629;1620;1609;1598;1591;1586;1580;1573;1568;1554;1545;1533;1525;1516;1508;1497;1488;1482;1466;1458;1449;1434;1420;
01/08/2021;1832;1692;1764;1831;1828;1823;1819;1814;1809;1803;1799;1798;1795;1791;1787;1784;1779;1774;1769;1763;1759;1754;1748;1741;1734;1729;1725;1719;1715;1709;1706;1701;1697;1693
01/07/2021;1943;1832;1898;1943;1941;1940;1938;1937;1933;1929;1927;1926;1924;1920;1917;1916;1912;1908;1903;1898;1895;1892;1887;1884;1878;1873;1867;1864;1861;1856;1852;1846;1840;1833
01/06/2021;1951;1939;1946;1939;1940;1941;1942;1943;1943;1944;1944;1944;1944;1944;1944;1944;1945;1947;1950;1951;1951;1951;1950;1950;1950;1950;1950;1950;1949;1949;1948;1947;1946;
01/06/2021;1951;1938;1946;1939;1940;1941;1942;1943;1943;1944;1944;1944;1944;1944;1944;1944;1945;1947;1950;1951;1951;1951;1950;1950;1950;1950;1950;1950;1949;1949;1948;1947;1946;
01/05/2021;1937;1840;1900;1840;1847;1855;1859;1861;1862;1867;1877;1879;1882;1885;1887;1895;1901;1905;1908;1909;1911;1917;1920;1922;1926;1929;1930;1931;1932;1932;1934;1935;1937;1937
01/05/2021;1937;1839;1900;1840;1847;1855;1859;1861;1862;1867;1877;1879;1882;1885;1887;1895;1901;1905;1908;1909;1911;1917;1920;1922;1926;1929;1930;1931;1932;1932;1934;1935;1937;1937
01/04/2021;1835;1655;1739;1655;1660;1665;1670;1677;1685;1691;1695;1701;1708;1715;1718;1721;1728;1735;1741;1747;1752;1758;1762;1767;1773;1778;1782;1790;1798;1808;1817;1824;1835;
01/04/2021;1836;1653;1738;1655;1660;1665;1670;1677;1685;1691;1695;1701;1708;1715;1718;1721;1728;1735;1741;1747;1752;1758;1762;1767;1773;1778;1782;1790;1798;1808;1817;1824;1835;
01/03/2021;1648;1474;1561;1474;1487;1496;1505;1512;1514;1518;1521;1522;1526;1533;1536;1542;1547;1552;1558;1564;1569;1575;1579;1582;1588;1595;1600;1608;1614;1622;1630;1636;1643;1648
01/03/2021;1649;1472;1561;1474;1487;1496;1505;1512;1514;1518;1521;1522;1526;1533;1536;1542;1547;1552;1558;1564;1569;1575;1579;1582;1588;1595;1600;1608;1614;1622;1630;1636;1643;1648
01/02/2021;1477;1274;1379;1274;1280;1288;1296;1308;1316;1324;1333;1341;1348;1356;1366;1375;1380;1386;1396;1404;1412;1416;1421;1427;1431;1436;1445;1450;1458;1465;1477;;;
01/02/2021;1479;1272;1379;1274;1280;1288;1296;1308;1316;1324;1333;1341;1348;1356;1366;1375;1380;1386;1396;1404;1412;1416;1421;1427;1431;1436;1445;1450;1458;1465;1477;;;
01/01/2021;1265;997;1129;997;1004;1012;1016;1024;1037;1045;1055;1064;1074;1083;1091;1101;1111;1119;1126;1138;1148;1156;1168;1175;1180;1191;1198;1208;1223;1235;1242;1250;1258;1265
01/01/2021;1267;995;1129;997;1004;1012;1016;1024;1037;1045;1055;1064;1074;1083;1091;1101;1111;1119;1126;1138;1148;1156;1168;1175;1180;1191;1198;1208;1223;1235;1242;1250;1258;1265
01/12/2020;986;735;846;735;740;748;755;764;771;780;786;791;796;804;809;815;822;829;836;842;847;857;865;876;887;897;906;916;927;938;957;968;977;986
01/12/2020;987;733;846;735;740;748;755;764;771;780;786;791;796;804;809;815;822;829;836;842;847;857;865;876;887;897;906;916;927;938;957;968;977;986
01/11/2020;729;631;667;649;644;640;638;635;632;631;631;634;636;639;643;644;647;651;654;658;665;675;686;689;692;697;703;708;711;715;719;724;729;
01/11/2020;731;630;667;649;644;640;638;635;632;631;631;634;636;639;643;644;647;651;654;658;665;675;686;689;692;697;703;708;711;715;719;724;729;
01/10/2020;778;653;687;778;761;745;733;717;705;697;693;687;681;674;675;671;670;670;671;672;673;674;675;679;680;681;680;675;675;673;667;665;662;653
01/10/2020;782;652;687;778;761;745;733;717;705;697;693;687;681;674;675;671;670;670;671;672;673;674;675;679;680;681;680;675;675;673;667;665;662;653
01/09/2020;1418;795;1114;1418;1406;1387;1368;1350;1329;1310;1289;1268;1246;1225;1205;1179;1159;1134;1109;1088;1060;1035;1016;979;954;931;906;892;875;853;833;815;795;
01/09/2020;1421;791;1114;1418;1406;1387;1368;1350;1329;1310;1289;1268;1246;1225;1205;1179;1159;1134;1109;1088;1060;1035;1016;979;954;931;906;892;875;853;833;815;795;
01/08/2020;1697;1435;1588;1697;1690;1685;1680;1675;1667;1663;1651;1649;1642;1636;1630;1626;1616;1609;1603;1596;1585;1573;1561;1553;1544;1535;1524;1517;1506;1488;1474;1461;1449;1435
01/08/2020;1698;1432;1588;1697;1690;1685;1680;1675;1667;1663;1651;1649;1642;1636;1630;1626;1616;1609;1603;1596;1585;1573;1561;1553;1544;1535;1524;1517;1506;1488;1474;1461;1449;1435
01/07/2020;1784;1705;1759;1784;1783;1783;1783;1782;1782;1780;1780;1779;1778;1776;1776;1774;1773;1770;1769;1767;1764;1760;1756;1753;1749;1746;1744;1737;1730;1725;1721;1716;1711;1705
01/07/2020;1784;1704;1759;1784;1783;1783;1783;1782;1782;1780;1780;1779;1778;1776;1776;1774;1773;1770;1769;1767;1764;1760;1756;1753;1749;1746;1744;1737;1730;1725;1721;1716;1711;1705
01/06/2020;1796;1771;1789;1771;1773;1775;1778;1781;1783;1787;1789;1790;1790;1792;1794;1796;1796;1796;1796;1796;1796;1796;1795;1793;1793;1792;1790;1790;1788;1787;1786;1785;1784;
01/06/2020;1796;1771;1788;1771;1773;1775;1778;1781;1783;1787;1789;1790;1790;1792;1794;1796;1796;1796;1796;1796;1796;1796;1795;1793;1793;1792;1790;1790;1788;1787;1786;1785;1784;
01/05/2020;1771;1600;1688;1600;1606;1612;1617;1624;1632;1638;1645;1649;1653;1660;1666;1670;1676;1680;1687;1696;1704;1708;1713;1718;1722;1727;1731;1737;1742;1748;1754;1761;1767;1771
01/05/2020;1771;1598;1687;1600;1606;1612;1617;1624;1632;1638;1645;1649;1653;1660;1666;1670;1676;1680;1687;1696;1704;1708;1713;1718;1722;1727;1731;1737;1742;1748;1754;1761;1767;1771
01/04/2020;1593;1441;1507;1441;1445;1447;1451;1453;1454;1455;1459;1466;1471;1475;1482;1487;1494;1499;1503;1506;1514;1521;1532;1537;1543;1548;1554;1566;1572;1576;1581;1587;1593;
01/04/2020;1593;1440;1507;1441;1445;1447;1451;1453;1454;1455;1459;1466;1471;1475;1482;1487;1494;1499;1503;1506;1514;1521;1532;1537;1543;1548;1554;1566;1572;1576;1581;1587;1593;
01/03/2020;1436;1334;1381;1334;1336;1338;1340;1342;1343;1348;1349;1350;1353;1355;1356;1361;1367;1371;1376;1381;1386;1395;1400;1406;1411;1416;1418;1420;1421;1425;1426;1429;1431;1436
01/03/2020;1437;1334;1381;1335;1336;1338;1340;1342;1343;1348;1349;1350;1353;1355;1356;1361;1367;1371;1376;1381;1386;1395;1400;1406;1411;1416;1418;1420;1421;1425;1426;1429;1431;1436
01/02/2020;1357;1322;1338;1354;1354;1354;1354;1354;1357;1357;1357;1351;1349;1346;1345;1338;1335;1333;1333;1330;1330;1327;1327;1326;1323;1322;1322;1322;1324;1327;1329;1331;;
01/01/2020;1375;1270;1349;1270;1281;1294;1306;1319;1327;1337;1345;1353;1358;1363;1366;1371;1375;1375;1375;1375;1375;1375;1370;1365;1363;1358;1357;1351;1349;1346;1354;1354;1354;1354
01/12/2019;1262;1130;1173;1189;1183;1175;1173;1171;1168;1166;1164;1159;1157;1148;1144;1135;1134;1134;1131;1130;1130;1136;1142;1150;1163;1176;1188;1203;1213;1223;1232;1240;1250;1262
01/11/2019;1195;1109;1152;1182;1182;1175;1165;1160;1155;1149;1142;1133;1125;1120;1115;1112;1109;1112;1115;1118;1122;1130;1138;1148;1166;1166;1176;1185;1189;1195;1195;1195;1195;
01/10/2019;1182;1119;1148;1182;1172;1165;1163;1159;1153;1146;1142;1139;1136;1133;1130;1128;1125;1120;1119;1120;1123;1126;1130;1136;1142;1148;1152;1155;1163;1172;1176;1179;1181;1181
01/09/2019;1578;1192;1391;1578;1571;1564;1555;1544;1534;1521;1508;1494;1479;1464;1448;1432;1418;1401;1382;1369;1354;1336;1321;1306;1292;1278;1263;1249;1238;1225;1213;1202;1192;
01/08/2019;1773;1590;1687;1773;1765;1761;1756;1751;1746;1741;1735;1729;1723;1717;1713;1706;1701;1697;1692;1685;1681;1676;1666;1661;1659;1647;1641;1632;1627;1620;1612;1604;1596;1590
01/08/2019;1774;1586;1687;1773;1765;1761;1756;1751;1746;1741;1735;1729;1723;1717;1713;1706;1701;1697;1692;1685;1681;1676;1666;1661;1659;1647;1641;1632;1627;1620;1612;1604;1596;1590
01/07/2019;1873;1782;1837;1873;1871;1870;1868;1866;1864;1865;1861;1860;1859;1854;1853;1851;1848;1845;1841;1840;1836;1832;1830;1827;1823;1818;1814;1809;1804;1799;1794;1789;1786;1782
01/07/2019;1873;1780;1836;1873;1871;1870;1868;1866;1864;1865;1861;1860;1859;1854;1853;1851;1848;1845;1841;1840;1836;1832;1830;1827;1823;1818;1814;1809;1804;1799;1794;1789;1786;1782
01/06/2019;1882;1833;1868;1833;1837;1841;1845;1851;1852;1855;1860;1862;1865;1866;1869;1872;1874;1875;1878;1880;1880;1880;1881;1881;1882;1882;1881;1880;1878;1878;1877;1876;1874;
01/06/2019;1882;1832;1868;1833;1837;1841;1845;1851;1852;1855;1860;1862;1865;1866;1869;1872;1874;1875;1878;1880;1880;1880;1881;1881;1882;1882;1881;1880;1878;1878;1877;1876;1874;
