Data,Maxima,Minima,Media,Cota01,Cota02,Cota03,Cota04,Cota05,Cota06,Cota07,Cota08,Cota09,Cota10,Cota11,Cota12,Cota13,Cota14,Cota15,Cota16,Cota17,Cota18,Cota19,Cota20,Cota21,Cota22,Cota23,Cota24,Cota25,Cota26,Cota27,Cota28,Cota29,Cota30,Cota31
1/1/2024,1287,1046,1194,1050,1062,1075,1086,1099,1111,1120,1132,1142,1152,1162,1172,1182,1192,1202,1211,1220,1229,1239,1243,1247,1251,1255,1259,1262,1268,1273,1277,1281,1283,1286
1/12/2023,1038,565,782,568,578,586,596,602,606,612,623,637,651,666,685,705,726,752,773,802,822,842,860,881,897,914,930,946,964,978,987,1002,1018,1034
1/11/2023,560,348,409,356,361,364,362,369,372,374,374,370,360,356,352,348,355,363,371,379,387,395,402,409,430,450,468,487,506,521,537,547,558,
1/10/2023,572,311,410,569,551,539,530,521,512,502,491,481,470,455,442,428,412,398,389,379,368,359,346,339,334,325,313,312,311,315,320,330,340,350
1/9/2023,1389,579,1004,1384,1368,1352,1335,1315,1289,1269,1249,1229,1209,1184,1141,1102,1067,1034,998,958,918,894,867,831,800,765,729,700,674,647,621,608,586,
1/8/2023,1762,1397,1606,1760,1753,1745,1737,1728,1719,1708,1701,1693,1684,1672,1662,1651,1640,1631,1620,1608,1597,1584,1571,1557,1545,1532,1518,1505,1489,1469,1452,1436,1419,1402
1/7/2023,1904,1764,1850,1904,1903,1901,1898,1896,1894,1890,1887,1884,1881,1877,1874,1870,1866,1861,1857,1851,1847,1842,1837,1834,1831,1823,1817,1810,1805,1798,1790,1782,1775,1767
1/6/2023,1922,1905,1915,1905,1906,1908,1909,1912,1913,1915,1916,1916,1917,1919,1920,1921,1922,1922,1922,1921,1921,1920,1920,1919,1918,1917,1916,1914,1914,1913,1911,1909,1907,
1/5/2023,1903,1806,1862,1807,1812,1816,1820,1824,1828,1832,1837,1841,1845,1849,1854,1857,1859,1863,1865,1869,1873,1876,1879,1882,1884,1887,1890,1892,1895,1898,1900,1901,1903,1903
1/4/2023,1804,1675,1744,1677,1686,1689,1693,1697,1701,1706,1712,1718,1722,1726,1730,1734,1737,1741,1745,1753,1756,1759,1763,1766,1774,1779,1783,1787,1789,1793,1796,1799,1803,
1/3/2023,1672,1501,1604,1503,1510,1518,1525,1529,1536,1551,1559,1566,1577,1585,1594,1604,1610,1614,1619,1623,1627,1631,1635,1639,1642,1645,1648,1652,1654,1658,1660,1664,1670,1672
1/2/2023,1496,1248,1386,1250,1262,1273,1289,1305,1319,1331,1343,1352,1360,1370,1378,1384,1390,1397,1406,1410,1413,1418,1430,1441,1448,1454,1461,1469,1479,1486,1496,,,
1/1/2023,1242,956,1067,958,964,974,981,989,995,1001,1004,1007,1011,1014,1016,1019,1024,1028,1033,1042,1050,1063,1077,1091,1106,1119,1136,1153,1167,1182,1196,1213,1227,1239
1/12/2022,967,872,941,873,879,890,901,910,919,927,936,946,951,956,959,963,966,966,965,966,965,961,958,954,951,948,945,941,937,937,944,946,949,953
1/11/2022,914,702,858,706,726,744,762,778,795,812,827,841,853,867,877,887,895,901,907,912,914,914,913,910,907,901,899,893,887,883,878,875,873,
1/10/2022,1116,651,803,1108,1081,1056,1033,1008,990,967,943,917,889,861,833,810,784,763,743,725,708,697,684,674,666,664,666,660,651,651,655,664,676,683
1/9/2022,1677,1128,1448,1676,1664,1659,1640,1627,1618,1605,1591,1578,1566,1548,1534,1515,1503,1490,1466,1442,1420,1404,1380,1356,1339,1309,1290,1272,1254,1225,1179,1155,1132,
1/8/2022,1918,1684,1813,1917,1912,1906,1901,1894,1887,1881,1875,1869,1862,1855,1848,1841,1833,1827,1820,1813,1805,1797,1790,1782,1772,1763,1754,1745,1736,1728,1718,1708,1698,1686
1/7/2022,2043,1922,1993,2043,2041,2039,2038,2036,2033,2030,2028,2025,2023,2020,2016,2014,2008,2001,1997,1993,1988,1984,1980,1975,1971,1966,1961,1956,1951,1946,1939,1934,1929,1923
1/6/2022,2046,2019,2038,2019,2021,2023,2025,2027,2029,2031,2032,2032,2033,2038,2040,2041,2043,2044,2044,2044,2044,2045,2046,2046,2046,2046,2045,2044,2043,2043,2044,2044,2043,
1/5/2022,2019,1934,1982,1935,1939,1943,1948,1951,1955,1960,1963,1966,1969,1971,1973,1976,1979,1982,1985,1989,1992,1994,1997,1999,2001,2003,2005,2006,2007,2009,2011,2014,2016,2019
1/4/2022,1932,1766,1858,1767,1782,1789,1797,1803,1809,1814,1818,1823,1829,1835,1839,1844,1851,1858,1863,1871,1875,1880,1887,1891,1896,1900,1904,1908,1912,1916,1921,1926,1931,
1/3/2022,1764,1520,1638,1522,1529,1533,1541,1548,1555,1562,1569,1577,1586,1593,1600,1607,1617,1626,1637,1645,1653,1663,1672,1683,1689,1697,1707,1713,1725,1731,1738,1748,1755,1762
1/2/2022,1519,1456,1472,1474,1468,1468,1465,1463,1462,1459,1457,1457,1456,1456,1456,1456,1457,1459,1459,1461,1466,1469,1471,1474,1478,1483,1493,1500,1508,1516,1518,,,
1/1/2022,1523,1457,1500,1459,1466,1472,1477,1481,1493,1493,1499,1502,1505,1509,1511,1513,1519,1520,1520,1523,1523,1523,1520,1517,1512,1510,1507,1502,1499,1496,1491,1487,1485,1479
1/12/2021,1454,1189,1314,1191,1197,1204,1212,1216,1222,1229,1237,1246,1254,1263,1272,1282,1290,1298,1308,1318,1329,1338,1349,1360,1371,1381,1390,1398,1406,1415,1423,1432,1440,1450
1/11/2021,1186,1002,1071,1005,1004,1004,1004,1006,1009,1013,1016,1021,1025,1029,1033,1039,1044,1049,1054,1063,1071,1080,1091,1104,1111,1122,1131,1144,1153,1163,1170,1178,1184,
1/10/2021,,,,1263,1253,1226,1215,1203,,,,,,,,,,,,,,1073,1064,1055,1044,1036,1030,1021,1019,1016,1015,1013,1009,1007
1/9/2021,1716,1277,1508,1716,1704,1692,1680,1668,1656,1643,1631,1619,1607,1594,1575,1559,1540,1527,1510,1493,1476,1459,1442,1425,1408,1391,1365,1348,1333,1318,1303,1290,1277,
1/9/2021,,,,,,,,,,,,,,1594,1575,1559,1540,,,,,,,,,1391,1365,1348,1333,1318,1303,1290,1277,
1/8/2021,1967,1728,1865,1967,1961,1955,1949,1945,1938,1934,1926,1919,1913,1905,1899,1896,1889,1882,1875,1867,1860,1852,1844,1835,1827,1817,1808,1801,1789,1777,1765,1752,1740,1728
1/8/2021,,,,1967,1961,1955,1949,1945,1938,1934,1926,1919,1913,1905,1899,1896,1889,1882,1875,1867,1860,1852,1844,1835,1827,1817,1808,,,,,,,
1/7/2021,2074,1972,2035,2074,2073,2072,2071,2070,2067,2065,2063,2061,2058,2055,2053,2051,2047,2044,2041,2037,2033,2030,2025,2021,2017,2014,2009,2005,2000,1994,1989,1983,1978,1972
1/7/2021,,,,,,,,2070,2067,2065,2063,2061,2058,2055,2053,2051,2047,2044,2041,2037,2033,2030,2025,2021,2017,2014,2009,2005,2000,1994,1989,1983,1978,1972
1/6/2021,2086,2075,2081,2077,2078,2079,2079,2080,2081,2082,2082,2082,2082,2082,2082,2082,2082,2083,2083,2085,2086,2086,2085,2084,2083,2082,2081,2080,2079,2078,2077,2076,2075,
1/6/2021,,,,2077,2078,2079,2079,2080,2081,2082,2082,2082,2082,2082,2082,2082,2082,2083,2083,2085,2086,2086,,,,,,,,,,,,
1/5/2021,2078,1991,2044,1991,1997,2001,2006,2009,2014,2015,2019,2024,2028,2031,2035,2039,2045,2046,2049,2051,2055,2058,2061,2064,2065,2067,2069,2071,2073,2074,2075,2077,2078,2078
1/5/2021,2078,1990,2044,1991,1997,2001,2006,2009,2014,2015,2019,2024,2028,2031,2035,2039,2045,2046,2049,2051,2055,2058,2061,2064,2065,2067,2069,2071,2073,2074,2075,2077,2078,2078
1/4/2021,1987,1837,1909,1837,1841,1845,1851,1855,1861,1866,1871,1875,1881,1885,1890,1894,1901,1904,1909,1916,1922,1926,1932,1937,1942,1947,1951,1956,1964,1971,1978,1983,1987,
1/4/2021,1987,1836,1909,1837,1841,1845,1851,1855,1861,1866,1871,1875,1881,1885,1890,1894,1901,1904,1909,1916,1922,1926,1932,1937,1942,1947,1951,1956,1964,1971,1978,1983,1987,
1/3/2021,1832,1678,1749,1678,1683,1687,1688,1693,1695,1697,1704,1707,1711,1717,1723,1729,1733,1739,1744,1747,1757,1761,1768,1781,1785,1791,1797,1800,1802,1807,1812,1817,1825,1832
1/3/2021,1832,1678,1749,1678,1683,1687,1688,1693,1695,1697,1704,1707,1711,1717,1723,1729,1733,1739,1744,1747,1757,1761,1768,1781,1785,1791,1797,1800,1802,1807,1812,1817,1825,1832
1/2/2021,1676,1544,1616,1544,1551,1558,1563,1568,1573,1577,1582,1587,1592,1596,1604,1610,1618,1625,1631,1633,1638,1641,1648,1651,1653,1656,1660,1665,1668,1673,1676,,,
1/2/2021,1676,1542,1616,1544,1551,1558,1563,1568,1573,1577,1582,1587,1592,1596,1604,1610,1618,1625,1631,1633,1638,1641,1648,1651,1653,1656,1660,1665,1668,1673,1676,,,
1/1/2021,1538,1257,1408,1257,1268,1281,1291,1302,1312,1323,1333,1346,1357,1367,1375,1383,1392,1401,1410,1419,1427,1436,1452,1463,1473,1480,1488,1497,1503,1511,1520,1526,1531,1538
1/1/2021,1539,1256,1408,1257,1268,1281,1291,1302,1312,1323,1333,1346,1357,1367,1375,1383,1392,1401,1410,1419,1427,1436,1452,1463,1473,1480,1488,1497,1503,1511,1520,1526,1531,1538
1/12/2020,1246,837,1038,837,847,857,870,882,895,914,929,943,957,973,987,1000,1013,1026,1040,1053,1067,1081,1090,1108,1123,1138,1152,1162,1173,1184,1196,1208,1234,1246
1/12/2020,1248,834,1038,837,847,857,870,882,895,914,929,943,957,973,987,1000,1013,1026,1040,1053,1067,1081,1090,1108,1123,1138,1152,1162,1173,1184,1196,1208,1234,1246
1/11/2020,826,743,770,744,744,744,744,743,744,747,749,753,758,759,760,760,762,765,766,766,769,772,775,780,782,783,788,792,796,801,807,816,826,
1/11/2020,828,742,770,744,744,744,744,743,744,747,749,753,758,759,760,760,762,765,766,766,769,772,775,780,782,783,788,792,796,801,807,816,826,
1/10/2020,828,745,775,828,814,808,800,800,799,799,798,795,791,787,784,780,777,773,769,766,762,759,755,754,755,756,755,754,754,753,753,748,747,745
1/10/2020,875,800,847,828,814,808,800,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2020,1507,840,1160,1507,1485,1465,1441,1414,1392,1370,1346,1322,1299,1275,1249,1224,1200,1165,1140,1112,1088,1065,1040,1014,989,964,943,924,911,891,874,856,840,
1/9/2020,1512,838,1160,1507,1485,1465,1441,1414,1392,1370,1346,1322,1299,1275,1249,1224,1200,1165,1140,1112,1088,1065,1040,1014,989,964,943,924,911,891,874,856,840,
1/8/2020,1822,1526,1704,1822,1816,1810,1804,1796,1789,1785,1778,1771,1764,1756,1751,1742,1735,1728,1721,1712,1703,1692,1683,1672,1661,1649,1637,1623,1610,1597,1583,1565,1547,1526
1/8/2020,1823,1522,1704,1822,1816,1810,1804,1796,1789,1785,1778,1771,1764,1756,1751,1742,1735,1728,1721,1712,1703,1692,1683,1672,1661,1649,1637,1623,1610,1597,1583,1565,1547,1526
1/7/2020,1917,1827,1883,1917,1915,1909,1910,1912,1911,1909,1908,1906,1904,1903,1900,1898,1896,1894,1892,1889,1884,1879,1875,1871,1868,1865,1861,1856,1851,1847,1843,1838,1832,1827
1/7/2020,1917,1826,1883,1917,1915,1909,1910,1912,1911,1909,1908,1906,1904,1903,1900,1898,1896,1894,1892,1889,1884,1879,1875,1871,1868,1865,1861,1856,1851,1847,1843,1838,1832,1827
1/6/2020,1929,1903,1921,1903,1907,1908,1910,1911,1915,1920,1921,1921,1921,1922,1923,1924,1925,1925,1925,1928,1929,1929,1928,1927,1926,1925,1924,1923,1921,1921,1920,1919,1918,
1/6/2020,1929,1903,1921,1903,1907,1908,1910,1911,1915,1920,1921,1921,1921,1922,1923,1924,1925,1925,1925,1928,1929,1929,1928,1927,1926,1925,1924,1923,1921,1921,1920,1919,1918,
1/5/2020,1902,1779,1847,1779,1786,1792,1798,1802,1806,1811,1816,1821,1827,1830,1832,1839,1841,1844,1849,1853,1857,1862,1865,1869,1871,1875,1880,1884,1887,1891,1893,1896,1899,1902
1/5/2020,1902,1778,1847,1779,1786,1792,1798,1802,1806,1811,1816,1821,1827,1830,1832,1839,1841,1844,1849,1853,1857,1862,1865,1869,1871,1875,1880,1884,1887,1891,1893,1896,1899,1902
1/4/2020,1773,1647,1704,1647,1651,1653,1655,1658,1661,1664,1667,1672,1677,1682,1686,1689,1693,1700,1704,1709,1714,1718,1722,1727,1731,1737,1741,1750,1753,1758,1763,1768,1773,
1/4/2020,1774,1647,1704,1647,1651,1653,1655,1658,1661,1664,1667,1672,1677,1682,1686,1689,1693,1700,1704,1709,1714,1718,1722,1727,1731,1737,1741,1750,1753,1758,1763,1768,1773,
1/3/2020,1644,1566,1600,1567,1566,1566,1566,1570,1571,1573,1575,1575,1578,1581,1582,1585,1590,1592,1594,1598,1600,1608,1612,1616,1621,1626,1630,1632,1632,1633,1636,1637,1639,1644
1/3/2020,1645,1565,1600,1567,1566,1566,1566,1570,1571,1573,1575,1575,1578,1581,1582,1585,1590,1592,1594,1598,1600,1608,1612,1616,1621,1626,1630,1632,1632,1633,1636,1637,1639,1644
1/2/2020,1567,1551,1560,1551,1553,1555,1556,1558,1558,1558,1558,1557,1556,1556,1558,1557,1559,1559,1560,1561,1561,1561,1566,1565,1564,1562,1561,1560,1562,1564,1565,1567,,
1/2/2020,1567,1551,1559,1551,1553,1555,1556,1558,1558,1558,1558,1557,1556,1556,1558,1557,1559,1559,1560,1561,1561,1561,1566,1565,1564,1562,1561,1560,1562,1564,1565,1567,,
1/1/2020,1550,1410,1493,1410,1416,1424,1431,1438,1444,1450,1458,1466,1472,1476,1480,1486,1491,1496,1501,1505,1510,1513,1517,1522,1526,1528,1531,1537,1539,1540,1543,1546,1548,1550
1/1/2020,1550,1408,1493,1410,1416,1424,1431,1438,1444,1450,1458,1466,1472,1476,1480,1486,1491,1496,1501,1505,1510,1513,1517,1522,1526,1528,1531,1537,1539,1540,1543,1546,1548,1550
1/12/2019,1396,1177,1284,1177,1185,1192,1204,1210,1216,1226,1233,1239,1244,1248,1254,1260,1266,1276,1282,1288,1295,1301,1307,1313,1320,1328,1335,1343,1355,1364,1372,1378,1388,1396
1/12/2019,1397,1174,1284,1177,1185,1192,1204,1210,1216,1226,1233,1239,1244,1248,1254,1260,1266,1276,1282,1288,1295,1301,1307,1313,1320,1328,1335,1343,1355,1364,1372,1378,1388,1396
1/11/2019,1167,949,1050,949,956,962,968,974,979,986,992,1000,1006,1011,1020,1028,1035,1042,1052,1059,1065,1072,1079,1086,1096,1104,1111,1121,1128,1138,1148,1158,1167,
1/11/2019,1170,948,1050,949,956,962,968,974,979,986,992,1000,1006,1011,1020,1028,1035,1042,1052,1059,1065,1072,1079,1086,1096,1104,1111,1121,1128,1138,1148,1158,1167,
1/10/2019,1136,884,958,1136,1116,1095,1074,1053,1037,1019,1003,983,972,962,950,939,930,919,911,903,897,891,886,884,885,887,893,902,910,919,925,932,937,943
1/10/2019,1140,884,958,1136,1116,1095,1074,1053,1037,1019,1003,983,972,962,950,939,930,919,911,903,897,891,886,884,885,887,893,902,910,919,925,932,937,943
1/9/2019,1703,1160,1473,1703,1693,1683,1672,1661,1649,1634,1623,1609,1597,1581,1564,1548,1530,1513,1491,1470,1448,1427,1403,1379,1355,1331,1305,1281,1255,1230,1207,1182,1160,
1/9/2019,1706,1156,1473,1703,1693,1683,1672,1661,1649,1634,1623,1609,1597,1581,1564,1548,1530,1513,1491,1470,1448,1427,1403,1379,1355,1331,1305,1281,1255,1230,1207,1182,1160,
1/8/2019,1911,1713,1823,1911,1906,1901,1896,1890,1884,1879,1874,1868,1863,1857,1851,1845,1839,1834,1830,1825,1819,1812,1806,1799,1791,1784,1775,1768,1759,1750,1741,1733,1724,1713
1/8/2019,1912,1711,1823,1911,1906,1901,1896,1890,1884,1879,1874,1868,1863,1857,1851,1845,1839,1834,1830,1825,1819,1812,1806,1799,1791,1784,1775,1768,1759,1750,1741,1733,1724,1713
1/7/2019,2012,1916,1973,2012,2010,2008,2007,2004,2003,2002,1998,1998,1996,1993,1990,1987,1984,1981,1978,1975,1971,1968,1965,1961,1957,1953,1947,1945,1940,1935,1931,1925,1920,1916
1/7/2019,2012,1915,1973,2012,2010,2008,2007,2004,2003,2002,1998,1998,1996,1993,1990,1987,1984,1981,1978,1975,1971,1968,1965,1961,1957,1953,1947,1945,1940,1935,1931,1925,1920,1916
1/6/2019,2023,1992,2014,1992,1994,1997,2000,2002,2004,2006,2009,2011,2013,2014,2017,2018,2019,2020,2020,2020,2020,2021,2021,2022,2023,2022,2021,2020,2019,2018,2016,2015,2013,
1/6/2019,2023,1992,2013,1992,1994,1997,2000,2002,2004,2006,2009,2011,2013,2014,2017,2018,2019,2020,2020,2020,2020,2021,2021,2022,2023,2022,2021,2020,2019,2018,2016,2015,2013,
1/5/2019,1989,1871,1931,1871,1875,1879,1883,1888,1892,1895,1897,1901,1905,1909,1912,1916,1920,1928,1933,1937,1941,1945,1949,1953,1958,1961,1965,1969,1971,1975,1979,1981,1985,1989
1/5/2019,1990,1870,1931,1871,1875,1879,1883,1888,1892,1895,1897,1901,1905,1909,1912,1916,1920,1928,1933,1937,1941,1945,1949,1953,1958,1961,1965,1969,1971,1975,1979,1981,1985,1989
1/4/2019,1867,1758,1809,1758,1760,1762,1766,1768,1769,1773,1779,1783,1786,1788,1795,1796,1800,1805,1811,1815,1820,1823,1828,1833,1837,1840,1843,1847,1850,1856,1859,1863,1867,
1/4/2019,1868,1757,1809,1758,1760,1762,1766,1768,1769,1773,1779,1783,1786,1788,1795,1796,1800,1805,1811,1815,1820,1823,1828,1833,1837,1840,1843,1847,1850,1856,1859,1863,1867,
1/3/2019,1756,1684,1715,1684,1687,1689,1690,1693,1695,1696,1697,1699,1700,1703,1705,1706,1707,1709,1712,1714,1716,1718,1720,1723,1726,1728,1731,1734,1736,1738,1739,1747,1754,1756
1/3/2019,1756,1683,1714,1684,1687,1689,1690,1693,1695,1696,1697,1699,1700,1703,1705,1706,1707,1709,1712,1714,1716,1718,1720,1723,1726,1728,1731,1734,1736,1738,1739,1747,1754,1756
1/2/2019,1680,1560,1622,1560,1564,1569,1573,1577,1581,1586,1593,1599,1603,1608,1613,1617,1622,1625,1630,1635,1638,1641,1646,1653,1656,1661,1665,1668,1671,1676,1680,,,
1/2/2019,1680,1557,1622,1560,1564,1569,1573,1577,1581,1586,1593,1599,1603,1608,1613,1617,1622,1625,1630,1635,1638,1641,1646,1653,1656,1661,1665,1668,1671,1676,1680,,,
1/1/2019,1553,1392,1484,1392,1402,1409,1416,1422,1430,1435,1441,1448,1459,1465,1470,1476,1480,1485,1490,1493,1498,1503,1507,1511,1519,1523,1528,1532,1537,1540,1544,1548,1550,1553
1/1/2019,1553,1390,1484,1392,1402,1409,1416,1422,1430,1435,1441,1448,1459,1465,1470,1476,1480,1485,1490,1493,1498,1503,1507,1511,1519,1523,1528,1532,1537,1540,1544,1548,1550,1553
1/12/2018,1385,991,1216,991,1007,1018,1037,1052,1067,1086,1108,1125,1143,1157,1174,1191,1210,1227,1240,1252,1264,1276,1286,1297,1308,1318,1327,1338,1346,1355,1364,1372,1378,1385
1/12/2018,1386,989,1216,991,1007,1018,1037,1052,1067,1086,1108,1125,1143,1157,1174,1191,1210,1227,1240,1252,1264,1276,1286,1297,1308,1318,1327,1338,1346,1355,1364,1372,1378,1385
1/11/2018,979,777,854,780,780,779,778,777,777,779,783,788,795,802,810,818,830,842,852,861,869,879,887,893,904,913,921,929,937,947,958,968,979,
1/11/2018,982,777,854,780,780,779,778,777,777,779,783,788,795,802,810,818,830,842,852,861,869,879,887,893,904,913,921,929,937,947,958,968,979,
1/10/2018,1207,781,933,1207,1184,1171,1160,1133,1109,1080,1057,1028,1007,989,953,932,906,900,882,866,852,839,831,824,817,814,810,807,804,803,800,784,783,781
1/10/2018,,,,1207,1184,1171,1160,1133,1109,1080,1057,1028,,,953,932,906,,,,,,,,,,,,,,,784,783,781
1/9/2018,1606,1255,1457,1606,1598,1590,1582,1572,1568,1558,1550,1540,1530,1519,1508,1498,1489,1479,1468,1456,1443,1436,1418,1403,1383,1369,1355,1342,1323,1307,1289,1274,1255,
1/9/2018,,,,1606,1598,1590,1582,1572,1568,1558,1550,1540,1530,1519,1508,1498,1489,1479,1468,1456,1443,1436,1418,1403,1383,1369,1355,1342,1323,1307,1289,,1255,
1/8/2018,1828,1616,1729,1828,1822,1816,1810,1803,1799,1793,1786,1779,1773,1766,1760,1753,1746,1739,1732,1725,1717,1711,1703,1697,1689,1683,1675,1665,1657,1649,1641,1634,1625,1616
1/8/2018,1829,1614,1729,1828,1822,1816,1810,1803,1799,1793,1786,1779,1773,1766,1760,1753,1746,1739,1732,1725,1717,1711,1703,1697,1689,1683,1675,1665,1657,1649,1641,1634,1625,1616
1/7/2018,1902,1834,1881,1902,1902,1902,1901,1900,1899,1898,1897,1898,1897,1897,1895,1894,1892,1890,1889,1887,1885,1883,1879,1877,1873,1869,1865,1860,1856,1852,1848,1842,1838,1834
1/7/2018,1902,1832,1881,1902,1902,1902,1901,1900,1899,1898,1897,1898,1897,1897,1895,1894,1892,1890,1889,1887,1885,1883,1879,1877,1873,1869,1865,1860,1856,1852,1848,1842,1838,1834
1/6/2018,1904,1864,1891,1864,1866,1869,1872,1874,1877,1879,1882,1883,1886,1888,1889,1890,1891,1892,1893,1894,1899,1900,1901,1902,1903,1903,1904,1904,1904,1904,1904,1904,1903,
1/6/2018,1904,1863,1891,1864,1866,1869,1872,1874,1877,1879,1882,1883,1886,1888,1889,1890,1891,1892,1893,1894,1899,1900,1901,1902,1903,1903,1904,1904,1904,1904,1904,1904,1903,
1/5/2018,1861,1705,1789,1705,1710,1717,1723,1729,1735,1740,1747,1752,1758,1762,1769,1774,1781,1787,1792,1797,1801,1806,1812,1817,1823,1829,1834,1839,1843,1847,1850,1853,1857,1861
1/5/2018,1861,1705,1789,1705,1710,1717,1723,1729,1735,1740,1747,1752,1758,1762,1769,1774,1781,1787,1792,1797,1801,1806,1812,1817,1823,1829,1834,1839,1843,1847,1850,1853,1857,1861
1/4/2018,1699,1547,1614,1547,1548,1550,1553,1557,1560,1563,1568,1574,1581,1585,1590,1596,1600,1604,1610,1618,1624,1633,1639,1645,1651,1659,1664,1669,1675,1681,1687,1693,1699,
1/4/2018,1699,1547,1614,1547,1548,1550,1553,1557,1560,1563,1568,1574,1581,1585,1590,1596,1600,1604,1610,1618,1624,1633,1639,1645,1651,1659,1664,1669,1675,1681,1687,1693,1699,
1/3/2018,1556,1535,1550,1535,1537,1541,1543,1545,1547,1550,1554,1554,1555,1554,1554,1554,1552,1554,1556,1556,1555,1555,1554,1552,1552,1552,1550,1549,1548,1547,1547,1547,1546,1547
1/3/2018,1556,1534,1550,1535,1537,1541,1543,1545,1547,1550,1554,1554,1555,1554,1554,1554,1552,1554,1556,1556,1555,1555,1554,1552,1552,1552,1550,1549,1548,1547,1547,1547,1546,1547
1/2/2018,1533,1378,1464,1378,1384,1391,1397,1404,1412,1417,1423,1428,1437,1444,1455,1460,1467,1477,1483,1487,1493,1499,1503,1507,1511,1514,1518,1521,1525,1530,1533,,,
1/2/2018,1533,1376,1464,1378,1384,1391,1397,1404,1412,1417,1423,1428,1437,1444,1455,1460,1467,1477,1483,1487,1493,1499,1503,1507,1511,1514,1518,1521,1525,1530,1533,,,
1/1/2018,1367,1203,1285,1203,1209,1215,1222,1228,1233,1239,1245,1249,1252,1259,1264,1270,1273,1277,1282,1288,1293,1300,1305,1310,1316,1320,1326,1332,1339,1345,1352,1357,1363,1367
1/1/2018,1368,1201,1285,1203,1209,1215,1222,1228,1233,1239,1245,1249,1252,1259,1264,1270,1273,1277,1282,1288,1293,1300,1305,1310,1316,1320,1326,1332,1339,1345,1352,1357,1363,1367
1/12/2017,1194,1050,1098,1050,1051,1054,1056,1058,1060,1061,1061,1062,1064,1067,1068,1070,1073,1075,1079,1083,1089,1097,1103,1109,1116,1124,1132,1142,1152,1162,1168,1179,1186,1194
1/12/2017,1196,1049,1098,1050,1051,1054,1056,1058,1060,1061,1061,1062,1064,1067,1068,1070,1073,1075,1079,1083,1089,1097,1103,1109,1116,1124,1132,1142,1152,1162,1168,1179,1186,1194
1/11/2017,1046,857,966,857,863,870,877,887,897,907,917,927,937,946,954,962,970,977,983,988,993,997,1001,1007,1010,1011,1017,1025,1031,1033,1038,1042,1046,
1/11/2017,1047,856,965,857,863,870,877,887,897,907,917,927,937,946,954,962,970,977,983,988,993,997,1001,1007,1010,1011,1017,1025,1031,1033,1038,1042,1046,
1/10/2017,853,796,829,801,798,797,796,799,805,808,810,816,820,823,826,828,831,832,834,838,840,842,844,845,847,847,848,846,846,848,847,847,850,853
1/10/2017,,,,,,797,796,799,805,808,810,816,820,823,826,828,831,832,834,838,840,842,844,845,847,847,848,846,846,848,847,847,850,853
1/9/2017,1357,804,1043,1357,1331,1303,1275,1247,1222,1200,1178,1157,1136,1116,1094,1072,1054,1035,1018,1004,984,964,948,931,914,895,878,863,846,834,822,810,804,
1/9/2017,,,,1357,1331,1303,1275,1247,1222,,,,,,,1072,1054,1035,1018,,,,948,931,914,895,878,863,846,834,822,810,804,
1/8/2017,1823,1384,1648,1823,1816,1808,1802,1792,1782,1773,1764,1754,1745,1735,1724,1711,1699,1687,1673,1659,1644,1628,1613,1591,1577,1559,1540,1521,1501,1478,1456,1432,1407,1384
1/8/2017,,,,1823,1816,1808,,,,,,1754,1745,1735,1724,1711,1699,1687,1673,1659,1644,1628,1613,1591,1577,1559,1540,1521,1501,1478,1456,1432,1407,1384
1/7/2017,1954,1830,1904,1954,1952,1952,1950,1948,1945,1942,1939,1936,1932,1928,1925,1921,1917,1915,1910,1906,1902,1896,1893,1887,1882,1877,1872,1867,1861,1856,1850,1843,1837,1830
1/7/2017,1955,1828,1904,1954,1952,1952,1950,1948,1945,1942,1939,1936,1932,1928,1925,1921,1917,1915,1910,1906,1902,1896,1893,1887,1882,1877,1872,1867,1861,1856,1850,1843,1837,1830
1/6/2017,1991,1956,1979,1987,1989,1990,1991,1990,1990,1989,1990,1989,1988,1987,1986,1985,1983,1981,1980,1979,1978,1977,1974,1973,1971,1971,1969,1968,1965,1963,1961,1958,1956,
1/6/2017,1991,1955,1978,1987,1989,1990,1991,1990,1990,1989,1990,1989,1988,1987,1986,1985,1983,1981,1980,1979,1978,1977,1974,1973,1971,1971,1969,1968,1965,1963,1961,1958,1956,
1/5/2017,1987,1929,1965,1929,1932,1936,1939,1942,1945,1949,1951,1954,1956,1959,1961,1963,1967,1968,1970,1972,1972,1974,1975,1977,1978,1980,1980,1981,1981,1982,1983,1984,1985,1987
